coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,paper_V_mean,paper_V_std,paper_L_mean,paper_L_std,flash,agtron
13.137,2.872,171.223,36.772,78.263,24.268,60.406,25.527,137.743,2.141,146.436,4.953,56.464,22.486,197.345,2.282,196.669,2.542,1,Agtron 55
12.746,3.426,173.014,35.644,75.903,24.61,57.828,25.453,137.888,2.087,145.884,5.36,54.226,22.27,197.345,2.282,196.669,2.542,1,Agtron 55
13.116,2.832,172.371,38.257,77.933,24.904,60.062,26.259,137.73,2.116,146.357,5.285,56.177,23.139,197.345,2.282,196.669,2.542,1,Agtron 55
12.832,4.127,180.463,33.748,80.735,25.107,60.661,25.834,139.239,2.169,147.936,5.332,56.502,22.788,197.345,2.282,196.669,2.542,1,Agtron 55
12.895,5.317,183.473,34.272,78.71,22.934,58.582,24.056,139.352,2.128,147.795,4.89,54.59,21.17,197.345,2.282,196.669,2.542,1,Agtron 55
12.22,4.078,183.546,33.514,75.103,24.032,55.042,24.756,139.335,2.203,146.621,5.437,51.622,21.682,197.345,2.282,196.669,2.542,1,Agtron 55
13.145,6.989,185.314,35.197,78.775,23.197,58.552,24.454,139.392,2.233,148.062,5.127,54.528,21.593,197.345,2.282,196.669,2.542,1,Agtron 55
12.638,4.524,181.588,34.18,79.288,25.065,59.13,25.734,139.331,2.292,147.569,5.559,55.165,22.633,197.345,2.282,196.669,2.542,1,Agtron 55
12.974,5.673,182.02,35.213,79.991,24.056,59.919,25.187,139.292,2.154,147.91,5.034,55.813,22.282,197.345,2.282,196.669,2.542,1,Agtron 55
12.536,4.317,181.741,33.727,78.734,25.305,58.544,25.831,139.36,2.209,147.42,5.525,54.678,22.726,197.345,2.282,196.669,2.542,1,Agtron 55
13.246,7.855,184.248,35.797,78.544,23.655,58.591,24.916,139.176,2.177,147.85,5.296,54.617,21.936,197.345,2.282,196.669,2.542,1,Agtron 55
12.697,4.08,184.521,33.976,77.871,24.858,57.689,25.582,139.302,2.191,147.57,5.503,53.885,22.464,197.345,2.282,196.669,2.542,1,Agtron 55
13.268,8.111,185.589,35.411,77.162,24.072,57.31,25.307,139.08,2.224,147.646,5.3,53.525,22.317,197.345,2.282,196.669,2.542,1,Agtron 55
12.536,3.328,186.431,32.989,75.389,24.694,55.33,25.264,139.186,2.144,147.121,5.672,51.837,22.048,197.345,2.282,196.669,2.542,1,Agtron 55
13.211,7.389,182.94,36.188,78.822,23.907,59.0,25.136,139.089,2.288,147.79,5.411,54.989,22.155,197.345,2.282,196.669,2.542,1,Agtron 55
